Z	 Mean 	 Sigma
37	 92.8	 1.69	 
38	 95.3	 1.72
39	 97.9	 1.66
40	 100.4	 1.60
41	 102.3	 1.44
42	 104.1	 1.35
43	 104.7	 1.26
44	 107.0	 1.20
45	 108.8	 1.23
46	 115.8	 1.71
47	 122.5	 1.32
48	 125.4	 1.35
49	 128.0	 1.30
50	 130.3	 1.26
51	 132	 1.20
52	 133.9	 1.23
