Z	 Mean 	 Sigma
37	 91.9	 1.79
38	 94.3	 1.70
39	 97.3	 1.65
40	 99.7	 1.60
41	 101.5	 1.50
42	 104.2	 1.44
50	 129	 1.70
51	 131	 1.70
52	 133	 1.65
