line 0 1 0 2
line 0 2 1 2
line 1 2 1 3
line 1 3 2 3
line 2 3 3 3
line 3 3 3 7
line 3 7 5 7
line 5 7 5 9
line 5 9 7 9
line 7 9 7 11
line 7 11 9 11
line 9 11 9 12
line 9 12 8 12
line 8 12 8 13
line 8 13 9 13 
line 8 13 9 13
line 9 13 9 14
line 9 14 8 14
line 8 14 8 15
line 8 15 11 15
line 11 15 11 17
line 11 17 14 17
line 14 17 14 18 
line 14 18 13 18
line 13 18 13 19
line 13 19 16 19
line 16 19 16 20
line 16 20 15 20
line 15 20 15 21
line 15 21 18 21
line 18 21 18 22
line 18 22 17 22
line 17 22 17 23
line 17 23 19 23
line 19 23 19 24
line 19 24 18 24
line 18 24 18 25
line 18 25 21 25
line 21 25 21 26
line 21 26 19 26
line 19 26 19 27
line 19 27 23 27
line 23 27 23 28
line 23 28 20 28
line 20 28 20 29
line 20 29 26 29
line 26 29 26 30
line 26 30 25 30
line 25 30 25 31
line 25 31 29 31
line 29 31 29 33
line 29 33 31 33
line 31 33 31 35
line 31 35 34 35
line 34 35 34 36
line 34 36 33 36
line 33 36 33 37
line 33 37 37 37
line 37 37 37 38
line 37 38 35 38
line 35 38 35 39
line 35 39 38 39
line 38 39 38 40
line 38 40 39 40
line 39 40 39 41
line 39 41 40 41
line 40 41 40 42
line 40 42 41 42
line 41 42 41 43
line 41 43 43 43
line 43 43 43 45
line 43 45 44 45
line 44 45 44 46
line 44 46 45 46
line 45 46 45 47
line 45 47 47 47
line 47 47 47 48
line 47 48 49 48
line 49 48 49 50
line 49 50 50 50
line 50 50 50 51
line 50 51 52 51
line 52 51 52 52
line 52 52 54 52
line 54 52 54 53
line 54 53 55 53
line 55 53 55 54
line 55 54 56 54
line 56 54 56 55
line 56 55 57 55
line 57 55 57 56
line 57 56 58 56
line 58 56 58 57
line 58 57 60 57
line 60 57 60 58
line 60 58 63 58
line 63 58 63 59
line 63 59 62 59
line 62 59 62 60
line 62 60 65 60
line 65 60 65 61
line 65 61 67 61
line 67 61 67 63
line 67 63 68 63
line 68 63 68 60
line 68 60 69 60
line 69 60 69 63
line 69 63 68 63
line 68 63 68 64
line 68 64 69 64
line 69 64 69 63
line 69 63 71 63
line 71 63 71 65
line 71 65 72 65
line 72 65 72 64
line 72 64 73 64
line 73 64 73 65
line 73 65 74 65
line 74 65 74 67
line 74 67 75 67
line 75 67 75 66
line 75 66 73 66
line 73 66 73 68
line 73 68 76 68
line 76 68 76 67
line 76 67 77 67
line 77 67 77 69
line 77 69 76 69
line 76 69 76 70
line 76 70 79 70
line 80 70 81 70
line 81 70 81 71
line 81 71 80 71
line 80 71 80 70
line 79 70 79 72
line 79 72 82 72
line 82 72 82 74
line 82 74 84 74
line 84 74 84 75
line 84 75 85 75
line 85 75 85 76
line 85 76 86 76
line 86 76 86 77
line 86 77 88 77
line 88 77 88 79
line 88 79 92 79
line 92 79 92 81 
line 92 81 96 81
line 96 81 96 82
line 96 82 98 82
line 98 82 98 83
line 98 83 101 83
line 101 83 101 84
line 101 84 104 84
line 104 84 104 85
line 104 85 106 85
line 106 85 106 86
line 106 86 109 86
line 109 86 109 87
line 109 87 112 87
line 112 87 112 88
line 112 88 114 88
line 114 88 114 89
line 114 89 117 89
line 117 89 117 90
line 117 90 119 90
line 119 90 119 91
line 119 91 121 91
line 121 91 121 92 
line 121 92 125 92
line 125 92 125 93
line 125 93 132 93
line 132 93 132 94
line 132 94 134 94
line 134 94 135 94
line 135 94 135 95
line 135 95 137 95
line 137 95 137 96
line 137 96 142 96
line 142 96 142 98
line 142 98 143 98
line 143 98 143 97
line 143 97 141 97
line 141 97 141 98
line 141 98 140 98
line 140 98 140 99
line 140 99 142 99
line 142 99 142 101
line 142 101 144 101
line 144 101 144 102
line 144 102 147 102
line 147 102 147 103
line 147 103 149 103
line 149 103 149 105
line 149 105 150 105
line 150 105 150 106
line 150 106 152 106
line 152 106 152 107
line 152 107 154 107
line 154 107 154 108
line 154 108 155 108
line 155 108 155 109
line 155 109 157 109
line 157 109 157 111
line 157 111 158 111
line 158 111 158 109
line 158 109 159 109
line 159 109 159 111
line 159 111 161 111
line 161 111 161 112
line 161 112 162 112
line 162 112 162 111
line 162 111 164 111
line 4 4 4 6
line 4 6 5 6
box 156 157 107 108
box 165 166 112 113
box 169 170 107 108
box 171 172 110 111
box 171 172 112 113
box 173 174 112 113
box 173 176 114 115
box 176 177 116 117
