47 25  
47 26   
48 26   
49 26   
49 27   
50 27   
51 27   
52 29   
53 29   
54 30  
56 31   
58 31   
60 32   
62 32   
62 33   
64 33   
64 34   
66 34   
68 35   
68 36  
70 36   
70 37   
72 37   
74 37   
74 38   
76 38   
76 39   
78 39   
78 40   
80 40  
80 41   
82 41   
82 42   
82 43   
82 44   
82 45   
82 46   
84 46   
86 47   
88 47  
88 48   
88 49   
90 49   
90 50   
92 50   
96 51   
98 51   
98 52   
100 52  
102 53   
104 53   
104 54   
106 54   
106 55   
108 55   
110 55   
110 56  
112 57   
114 57   
116 57   
116 58   
118 58   
120 58   
122 59   
124 60  
126 61   
126 62   
126 63   
126 64   
126 65   
126 66   
126 67   
126 68  
126 69   
128 69   
132 70   
134 70   
136 71   
138 71   
140 71   
140 72  
142 72   
144 73   
146 74   
148 74   
148 75   
150 75   
150 76   
152 76  
152 77   
154 77   
154 78   
156 78   
156 79   
158 79   
158 80   
160 80  
164 81   
166 81   
168 81   
170 82   
172 82   
172 83   
174 83   
176 84  
178 84   
178 85   
180 85   
180 86   
182 86   
184 86   
184 101   
183 101  
183 94  
164 87  
158 86  
146 79  
144 78  
132 76  
126 74  
125 74  
125 65 
113 63  
99 57  
98 55  
92 54   
82 49   
81 48 
68 42  
54 34  
41 25  
47 25 
